pi_per_n1;pi_per_n2;di_region;di_ejecutivo;di_codigo;di_nombre;producto_elemento;zi_tipo;zi_clase;zi_encargado_cod;zi_encargado_nom;zi_encargado_tipo;zi_encargado_clase;zi_encargado_alt_cod;zi_encargado_alt_nom;zi_codigo;zi_nombre;venta_meta;impactos_meta;volumen_meta
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D044;Distribuidora D044;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D044-3614;VENDEDOR D044-3614;1383503;19;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D050;Distribuidora D050;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D050-44;VENDEDOR D050-44;3380530;84;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D061;Distribuidora D061;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D061-1079;VENDEDOR D061-1079;220786;4;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D023;Distribuidora D023;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D023-4400105011;VENDEDOR D023-4400105011;3290823;69;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D007;Distribuidora D007;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D007-0033;VENDEDOR D007-0033;2442778;91;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D003-mayate;VENDEDOR D003-mayate;1170581;55;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D010;Distribuidora D010;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D010-9770843;VENDEDOR D010-9770843;2800219;122;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D063;Distribuidora D063;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D063-2199;VENDEDOR D063-2199;732664;34;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D006;Distribuidora D006;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D006-156;VENDEDOR D006-156;3735284;99;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D003-tecsas;VENDEDOR D003-tecsas;1235650;76;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D007;Distribuidora D007;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D007-0005;VENDEDOR D007-0005;1904054;7;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D062;Distribuidora D062;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D062-4;VENDEDOR D062-4;508924;19;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D004;Distribuidora D004;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D004-0063;VENDEDOR D004-0063;6747082;93;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D050;Distribuidora D050;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D050-66;VENDEDOR D050-66;1286834;46;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D062;Distribuidora D062;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D062-211;VENDEDOR D062-211;670763;23;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D006;Distribuidora D006;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D006-144;VENDEDOR D006-144;4245526;97;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D046;Distribuidora D046;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D046-656;VENDEDOR D046-656;785422;21;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D067;Distribuidora D067;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D067-1793;VENDEDOR D067-1793;109877;8;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D046;Distribuidora D046;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D046-RV03;VENDEDOR D046-RV03;1962078;9;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D037;Distribuidora D037;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D037-90072;VENDEDOR D037-90072;5510938;121;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D005;Distribuidora D005;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D005-162;VENDEDOR D005-162;7787896;155;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D022-4700105008;VENDEDOR D022-4700105008;2747606;79;0
2025;3;LLANOS;Ejecutivo LLANOS;D065;Distribuidora D065;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D065-3107;VENDEDOR D065-3107;183002;2;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-Andjim;VENDEDOR D003-Andjim;105931;6;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D001;Distribuidora D001;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D001-89;VENDEDOR D001-89;2396381;84;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D022-4700105007;VENDEDOR D022-4700105007;2965100;74;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-Diayis;VENDEDOR D003-Diayis;207077;6;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D061;Distribuidora D061;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D061-1100;VENDEDOR D061-1100;442436;10;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D058;Distribuidora D058;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D058-248;VENDEDOR D058-248;2705869;73;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D061;Distribuidora D061;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D061-4303;VENDEDOR D061-4303;484839;18;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D038;Distribuidora D038;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D038-EL25;VENDEDOR D038-EL25;1779110;51;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D024;Distribuidora D024;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D024-2000105020;VENDEDOR D024-2000105020;2329732;47;0
2025;3;LLANOS;Ejecutivo LLANOS;D054;Distribuidora D054;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D054-1503;VENDEDOR D054-1503;1661185;28;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D044;Distribuidora D044;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D044-3621;VENDEDOR D044-3621;562815;12;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D008;Distribuidora D008;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D008-EC204;VENDEDOR D008-EC204;1688332;39;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D067;Distribuidora D067;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D067-1510;VENDEDOR D067-1510;2614258;71;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D011;Distribuidora D011;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D011-016;VENDEDOR D011-016;16939606;130;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D067;Distribuidora D067;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D067-1757;VENDEDOR D067-1757;881272;34;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D071;Distribuidora D071;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D071-1061793865;VENDEDOR D071-1061793865;2144365;11;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-pineca;VENDEDOR D003-pineca;108680;7;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-jhoser;VENDEDOR D003-jhoser;1628563;42;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D046;Distribuidora D046;TOTAL;MAYORISTAS;MAYORISTAS;SIN SUP;SIN SUP;;;;;D046-2;VENDEDOR D046-2;2508281;5;0
2025;3;LLANOS;Ejecutivo LLANOS;D054;Distribuidora D054;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D054-1804;VENDEDOR D054-1804;2255685;88;0
2025;3;ORIENTE;Ejecutivo ORIENTE;D055;Distribuidora D055;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D055-230;VENDEDOR D055-230;2542528;20;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D061;Distribuidora D061;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D061-4203;VENDEDOR D061-4203;13406;2;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D038;Distribuidora D038;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D038-2082;VENDEDOR D038-2082;1274894;52;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D067;Distribuidora D067;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D067-1804;VENDEDOR D067-1804;958726;51;0
2025;3;CENTRO;Ejecutivo CENTRO;D059;Distribuidora D059;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D059-65716106;VENDEDOR D059-65716106;1420536;20;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D068;Distribuidora D068;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D068-16;VENDEDOR D068-16;2132306;21;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D022-1065571819;VENDEDOR D022-1065571819;4521562;98;0
2025;3;CENTRO;Ejecutivo CENTRO;D059;Distribuidora D059;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D059-999999999;VENDEDOR D059-999999999;3079569;6;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-beldua;VENDEDOR D003-beldua;189437;8;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D052;Distribuidora D052;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D052-1130615736;VENDEDOR D052-1130615736;4461270;8;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D044;Distribuidora D044;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D044-6743;VENDEDOR D044-6743;2345462;8;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D005;Distribuidora D005;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D005-51;VENDEDOR D005-51;7174510;125;0
2025;3;CENTRO;Ejecutivo CENTRO;D057;Distribuidora D057;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D057-14;VENDEDOR D057-14;3614279;126;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D062;Distribuidora D062;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D062-2;VENDEDOR D062-2;284594;14;0
2025;3;CENTRO;Ejecutivo CENTRO;D060;Distribuidora D060;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D060-79670149;VENDEDOR D060-79670149;272451;10;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D009;Distribuidora D009;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D009-155;VENDEDOR D009-155;9404961;99;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D050;Distribuidora D050;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D050-37;VENDEDOR D050-37;4753228;131;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D022-4700101011;VENDEDOR D022-4700101011;27433;2;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D046;Distribuidora D046;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D046-5;VENDEDOR D046-5;3522160;14;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D067;Distribuidora D067;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D067-1439;VENDEDOR D067-1439;5400424;211;0
