region;ejecutivo;distr;venta_prom
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5380730
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;7193466
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2035930
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;879686
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;6513402
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1256685
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;4362378
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1770627
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;649373
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;1437355
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;2798489
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1741808
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;931513
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;64397
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1774807
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;819277
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;2510841
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;503716
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;2749753
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;19513569
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;23128
ANTIOQUIA;Ejecutivo ANTIOQUIA;DISTRIYOL;1349652
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;2471639
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;1847995
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1680981
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;5879492
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;173104
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1500805
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;214702
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;760367
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;700685
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;269564
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1104293
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;486559
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3462327
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;972119
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1698789
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;364155
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;4237966
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1261602
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;479957
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3540540
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;682271
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;109877
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1636988
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;5060997
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;6319354
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2476204
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;-18192
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;91673
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;2254653
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2612866
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;179204
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;327309
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;2459881
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;386810
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1233245
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;1655838
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1177429
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;511650
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;855513
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2134234
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;14418109
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;675590
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;715157
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;108680
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1281235
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2256824
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1482527
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;2311389
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;13406
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;883732
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;798340
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;757234
ANTIOQUIA;Ejecutivo ANTIOQUIA;DISTRIYOL;540386
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3984431
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS TOLIMA;1641601
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;149036
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;2768266
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2299472
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5827285
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;2607574
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;203639
CENTRO;Ejecutivo CENTRO;CIA DE DSIERRA SAS HUILA;205064
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;9263947
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;4321116
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;27433
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;3169061
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;4088169
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;676762
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;199982
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1385837
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1539979
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;4161008
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1002083
PACIFICO;Ejecutivo PACIFICO;GUSTAVO MUNOZ;4274767
ANTIOQUIA;Ejecutivo ANTIOQUIA;COMERC EPA S A S (APARTADO);20392030
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2185347
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;5251600
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;2228884
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;4774351
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1480842
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;185129
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1841429
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;14251781
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS QUINDIO;2981043
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2177850
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;9388585
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;1627918
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;117609
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1690601
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1614959
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;544442
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;4229732
EJE CAFETERO;Ejecutivo EJE CAFETERO;SURTIALIADOS;3060717
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6964297
COSTA 1;Ejecutivo COSTA 1;DISTRIBUIDORA CORRALITO DE PIEDRA S;47224
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;8390085
PACIFICO;Ejecutivo PACIFICO;MULTIVENTAS CALI;713964
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;3817927
EJE CAFETERO;Ejecutivo EJE CAFETERO;BARACALDO;47101
