region;ejecutivo;distr;venta_prom
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;125078
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;1990037
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;2142914
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;124911
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;295011
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;2293936
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;382394
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;477403
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;1688944
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;746324
ANTIOQUIA;Ejecutivo ANTIOQUIA;SERDISTAT S.A.S;1677930
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;942846
PACIFICO;Ejecutivo PACIFICO;CIA DE DSIERRA S A S VALLE;559654
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;4039303
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1080301
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;1036262
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;3314342
